id	filename	md5	size	state
acc0aa67-75f3-471e-90e4-97f4d757c0e1	nationwidechildrens.org_biospecimen.TCGA-S9-A6TY.xml	a317463c5af982002521b0b8fd83ec44	53956	live
62bae009-41a4-43d5-bd9b-1d2639d792a6	nationwidechildrens.org_biospecimen.TCGA-G5-6233.xml	06cfb9fd98f08f499f2087e3b37a8852	69636	live
ea39e875-724e-4b6f-8568-35cfee6ea74d	nationwidechildrens.org_biospecimen.TCGA-61-1728.xml	bb46fd4f912f6b3b44a736bc555999f2	107746	live
6956d541-3b5a-462a-9a65-1ae1b24d2550	nationwidechildrens.org_biospecimen.TCGA-LK-A4NZ.xml	083a24f5cb9706dc1371524afc4d3a89	48140	live
0e207220-6580-4b22-9a7a-341763fb5b52	nationwidechildrens.org_biospecimen.TCGA-DJ-A4UR.xml	5b01c79ced370ea99e1c380dd1fe8a04	53959	live
3e78c617-7220-418e-acde-32bd9b83dfbf	nationwidechildrens.org_biospecimen.TCGA-DJ-A4UW.xml	56708e8c6dfe457d59e9d4609ddc4d82	53957	live
34d6592c-2154-4ba4-8657-39acaa3385a0	nationwidechildrens.org_biospecimen.TCGA-F5-6813.xml	0d8b02e98d7c8dbc11521faf4de31615	69571	live
eef6ef00-6846-48ec-b4ad-bf3e5ca1bfb5	nationwidechildrens.org_biospecimen.TCGA-72-4234.xml	0547cff9db75a54ab4b671d894bb6fe8	30616	live
a64728bb-e497-4fec-9f5d-f32ae9595627	nationwidechildrens.org_biospecimen.TCGA-04-1536.xml	076256188b9d1074b036115041e81a31	94466	live
b5835921-fc3d-4198-a78a-b8e05dc77189	nationwidechildrens.org_biospecimen.TCGA-OR-A5LO.xml	9b38745404ec35e99460d7f38b24ea71	54619	live
d9def603-9da7-44a8-8ebc-e1d4e6a74da3	nationwidechildrens.org_biospecimen.TCGA-P5-A737.xml	b341ae1d43bb1bc5fc3979d53ccf9a09	56417	live
23f6a36e-8444-4b1a-afba-ccbc146e5736	nationwidechildrens.org_biospecimen.TCGA-X6-A7WA.xml	05abdf7cde5e2d0a175c58d540c3f986	54608	live
2e69ca3e-30b5-44b8-9a8c-bd3ecacddbe4	nationwidechildrens.org_biospecimen.TCGA-FG-A6J1.xml	847ec433f16cdab16a9a8255f89a56f3	52297	live
e64c12ba-b909-4e88-b7d3-e059457210a0	nationwidechildrens.org_biospecimen.TCGA-EL-A3D6.xml	8c6b8e38efd8d2a87dfb347aa31f0bb9	53959	live
49dabada-9288-4ee0-b7fb-9f0eb75f5979	nationwidechildrens.org_biospecimen.TCGA-FY-A3ON.xml	af027a3cc74b3d05ba6453cbe3f62b9d	62999	live
6ec0477b-e59d-4abe-b85a-39590de5393e	nationwidechildrens.org_biospecimen.TCGA-DJ-A4UL.xml	c7283546b44f4da57436c0364586d75f	53959	live
73adf5f7-bf58-43be-921f-d5ee4120c7f1	nationwidechildrens.org_biospecimen.TCGA-EL-A4K4.xml	b7349dea4229f6a0a27406afa9669568	56863	live
94685d7c-63d2-4119-8bdd-86bd2cfdb081	nationwidechildrens.org_biospecimen.TCGA-24-1435.xml	8bab31ce336fa4450e4520213be93500	104523	live
3494a5ab-683b-4bc8-806a-61f129b7e4d7	nationwidechildrens.org_biospecimen.TCGA-HT-7686.xml	37dba7aad4c2e068ecb905b3cee3502f	59329	live
89eedc2d-a62e-4894-8b2a-9447e7aca492	nationwidechildrens.org_biospecimen.TCGA-23-2077.xml	17db2208062ba67e17d55b7634b3c654	107301	live
d17ed2cc-a8ca-4f37-9e0f-3f3528dc9f9e	nationwidechildrens.org_biospecimen.TCGA-29-2428.xml	71e825de11599b7038d88ddd9f05843f	107373	live
3c8e52ec-7449-4f81-9c08-68655ec1df56	nationwidechildrens.org_biospecimen.TCGA-EL-A3CO.xml	52ee8232c98fe7f4c2247e7a4e22ff25	56419	live
e17a67e1-46ba-45f2-b5d4-678882108e80	nationwidechildrens.org_biospecimen.TCGA-EM-A3O9.xml	039a7a09667e290e2c175d6a62d236dc	61327	live
65a89d0b-d225-4b52-84ea-a72134a95eda	nationwidechildrens.org_biospecimen.TCGA-DU-A7TJ.xml	6025f4fc913fd445b98557123040e69b	53954	live
